
Initial statistics: 135 variables; iteration 0; function evaluation 0; phase 1
Function value 6.1071593e+03; maximum gradient component mag -2.2413e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42250 -1.34174e+01 |  2 -0.08598 -2.24130e+02 |  3  0.00000  3.83432e+00
  4  0.00000  3.93110e+00 |  5  0.00000  4.02834e+00 |  6  0.00000  4.12577e+00
  7  0.00000  4.22322e+00 |  8  0.00000  4.32030e+00 |  9  0.00000  4.41664e+00
 10  0.00000  4.51190e+00 | 11  0.00000  4.60571e+00 | 12  0.00000  4.69770e+00
 13  0.00000  4.78752e+00 | 14  0.00000  4.87480e+00 | 15  0.00000  4.95914e+00
 16  0.00000  5.04012e+00 | 17  0.00000  5.11722e+00 | 18  0.00000  5.18993e+00
 19  0.00000  5.25776e+00 | 20  0.00000  5.32031e+00 | 21  0.00000  5.37734e+00
 22  0.00000  5.42855e+00 | 23  0.00000  5.47363e+00 | 24  0.00000  5.51217e+00
 25  0.00000  5.54370e+00 | 26  0.00000  5.56770e+00 | 27  0.00000  5.58359e+00
 28  0.00000  5.59094e+00 | 29  0.00000  5.58943e+00 | 30  0.00000  5.57848e+00
 31  0.00000  5.55902e+00 | 32  0.00000  5.53115e+00 | 33  0.00000  5.49536e+00
 34  0.00000  5.45241e+00 | 35  0.00000  5.40303e+00 | 36  0.00000  5.34800e+00
 37  0.00000  5.28823e+00 | 38  0.00000  5.22433e+00 | 39  0.00000  5.15662e+00
 40  0.00000  5.08486e+00 | 41  0.00000  5.00790e+00 | 42  0.00000  4.92327e+00
 43  0.00000  4.82746e+00 | 44  0.00000  4.71522e+00 | 45  0.00000  4.57961e+00
 46  0.00000  4.41279e+00 | 47  0.00000  4.20620e+00 | 48  0.00000  3.95042e+00
 49  0.00000  3.63653e+00 | 50  0.00000  3.25542e+00 | 51  0.00000  2.79872e+00
 52  0.00000  2.25829e+00 | 53  0.00000  1.62737e+00 | 54  0.00000  9.00735e-01
 55  0.00000  7.49155e-02 | 56  0.00000 -8.51206e-01 | 57  0.00000 -1.87676e+00
 58  0.00000 -2.99702e+00 | 59  0.00000 -4.20384e+00 | 60  0.00000 -5.48380e+00
 61  0.00000 -6.81859e+00 | 62  0.00000 -8.18294e+00 | 63  0.00000 -9.54604e+00
 64  0.00000 -1.08722e+01 | 65  0.00000 -1.21221e+01 | 66  0.00000 -1.32569e+01
 67  0.00000 -1.42457e+01 | 68  0.00000 -1.50694e+01 | 69  0.00000 -1.57213e+01
 70  0.00000 -1.62070e+01 | 71  0.00000 -1.65310e+01 | 72  0.00000 -1.66889e+01
 73  0.00000 -1.66600e+01 | 74  0.00000 -1.64129e+01 | 75  0.00000 -1.59269e+01
 76  0.00000 -1.52180e+01 | 77  0.00000 -1.43637e+01 | 78  0.00000 -1.34940e+01
 79  0.00000 -1.27556e+01 | 80  0.00000 -1.22391e+01 | 81  0.00000 -1.19525e+01
 82  0.00000 -1.18423e+01 | 83  0.00000 -1.19101e+01 | 84  0.00000 -1.23023e+01
 85  0.00000 -1.30765e+01 | 86  0.00000 -1.39919e+01 | 87  0.00000 -1.55268e+01
 88  0.00000 -1.75960e+01 | 89  0.00000 -2.03373e+01 | 90  0.00000 -2.27707e+01
 91  0.00000 -2.54126e+01 | 92  0.00000 -2.85499e+01 | 93  0.00000 -3.11002e+01
 94  0.00000 -3.69596e+01 | 95  0.00000 -4.82011e+01 | 96  0.00000 -5.56385e+01
 97  0.00000 -5.73201e+01 | 98  0.00000 -7.12912e+01 | 99  0.00000 -8.90520e+01
100  0.00000 -7.28948e+01 |101  0.00000 -4.30008e+01 |102  0.00000 -3.38665e+01
103  0.00000 -2.65622e+01 |104  0.00000 -1.21892e+01 |105  0.00000  3.05844e+01
106  0.00000  1.02374e+02 |107  0.00000  1.36098e+02 |108  0.00000  1.29156e+02
109  0.00000  6.82763e+01 |110  0.00000 -7.98610e+00 |111  0.00000  3.69746e+00
112  0.00000  2.80343e+01 |113  0.00000  5.66137e+01 |114  0.00000  7.85811e+01
115  0.00000  4.80629e+01 |116  0.00000  3.39981e+01 |117  0.00000  3.00076e+01
118  0.00000 -9.13462e+00 |119  0.00000 -3.78257e+01 |120  0.00000 -2.87555e+01
121  0.00000 -5.02975e+01 |122  0.00000 -2.06270e+01 |123  0.00000 -9.19631e+01
124  0.00000 -2.15077e+00 |125  0.00000  1.65289e+01 |126  0.00000  1.77204e+01
127  0.00000  8.10399e+00 |128  0.00000 -2.11534e+01 |129  0.00000  2.11012e+00
130  0.00000  8.09502e-01 |131  0.00000  1.34779e+00 |132  0.00000  7.73897e-02
133  0.00000 -2.76978e-13 |134  0.26793 -3.56838e+01 |135  0.17955 -5.61754e+01

Intermediate statistics: 135 variables; iteration 20; function evaluation 30; phase 1
Function value 6.0659360e+03; maximum gradient component mag 3.6874e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42367 -2.00939e+01 |  2 -0.09848 -5.83345e+00 |  3 -0.00724  5.72785e-01
  4 -0.00741  5.79538e-01 |  5 -0.00758  5.85486e-01 |  6 -0.00775  5.90516e-01
  7 -0.00792  5.94535e-01 |  8 -0.00809  5.97392e-01 |  9 -0.00825  5.98946e-01
 10 -0.00841  5.99059e-01 | 11 -0.00856  5.97588e-01 | 12 -0.00871  5.94391e-01
 13 -0.00885  5.89320e-01 | 14 -0.00898  5.82220e-01 | 15 -0.00910  5.72925e-01
 16 -0.00921  5.61245e-01 | 17 -0.00932  5.46969e-01 | 18 -0.00941  5.29882e-01
 19 -0.00949  5.09799e-01 | 20 -0.00956  4.86567e-01 | 21 -0.00961  4.60054e-01
 22 -0.00965  4.30096e-01 | 23 -0.00968  3.96511e-01 | 24 -0.00970  3.59098e-01
 25 -0.00970  3.17648e-01 | 26 -0.00969  2.71971e-01 | 27 -0.00967  2.21921e-01
 28 -0.00963  1.67431e-01 | 29 -0.00958  1.08518e-01 | 30 -0.00952  4.52330e-02
 31 -0.00945 -2.21500e-02 | 32 -0.00937 -9.33953e-02 | 33 -0.00929 -1.68158e-01
 34 -0.00922 -2.45921e-01 | 35 -0.00915 -3.26000e-01 | 36 -0.00910 -4.07500e-01
 37 -0.00906 -4.89340e-01 | 38 -0.00904 -5.70287e-01 | 39 -0.00905 -6.48967e-01
 40 -0.00908 -7.23905e-01 | 41 -0.00914 -7.93502e-01 | 42 -0.00921 -8.56092e-01
 43 -0.00929 -9.10190e-01 | 44 -0.00936 -9.54704e-01 | 45 -0.00942 -9.89060e-01
 46 -0.00943 -1.01310e+00 | 47 -0.00937 -1.02667e+00 | 48 -0.00923 -1.02926e+00
 49 -0.00896 -1.02020e+00 | 50 -0.00854 -9.98504e-01 | 51 -0.00795 -9.63118e-01
 52 -0.00714 -9.12785e-01 | 53 -0.00610 -8.46513e-01 | 54 -0.00478 -7.63817e-01
 55 -0.00318 -6.64786e-01 | 56 -0.00127 -5.51833e-01 | 57  0.00095 -4.28980e-01
 58  0.00347 -3.04092e-01 | 59  0.00623 -1.90292e-01 | 60  0.00915 -1.06210e-01
 61  0.01208 -7.54858e-02 | 62  0.01485 -1.21627e-01 | 63  0.01727 -2.59040e-01
 64  0.01920 -4.79265e-01 | 65  0.02066 -7.39027e-01 | 66  0.02184 -9.63366e-01
 67  0.02297 -1.07739e+00 | 68  0.02417 -1.04981e+00 | 69  0.02529 -9.10172e-01
 70  0.02611 -7.16489e-01 | 71  0.02651 -5.09232e-01 | 72  0.02651 -2.98354e-01
 73  0.02616 -6.53555e-02 | 74  0.02561  2.31528e-01 | 75  0.02494  6.17342e-01
 76  0.02398  1.02856e+00 | 77  0.02241  1.30356e+00 | 78  0.02009  1.27870e+00
 79  0.01728  8.74880e-01 | 80  0.01428  1.10670e-01 | 81  0.01127 -9.29743e-01
 82  0.00830 -2.13481e+00 | 83  0.00539 -3.45723e+00 | 84  0.00262 -4.98062e+00
 85  0.00004 -6.69674e+00 | 86 -0.00248 -8.32656e+00 | 87 -0.00464 -1.01996e+01
 88 -0.00622 -1.20865e+01 | 89 -0.00486 -1.36358e+01 | 90 -0.00484 -1.43164e+01
 91 -0.00270 -1.40717e+01 | 92  0.00214 -1.29563e+01 | 93  0.00360 -1.03557e+01
 94  0.00799 -9.09303e+00 | 95  0.03725 -9.22155e+00 | 96  0.02150 -1.08340e+01
 97  0.00058 -9.19757e+00 | 98 -0.03730 -1.95665e+01 | 99  0.10662 -1.59974e+01
100 -0.02309 -1.70754e+01 |101 -0.00398  9.52998e-01 |102  0.00555  3.71889e+00
103  0.03004  9.57404e+00 |104  0.00833  2.57938e+00 |105  0.01547  2.35182e+01
106 -0.05130  2.49577e+01 |107 -0.05108  3.68741e+01 |108 -0.06066  2.75487e+01
109 -0.03357  1.65185e+01 |110  0.05732  1.38340e+01 |111  0.02052  9.76915e+00
112  0.00442  5.12667e+00 |113 -0.03813  1.84239e+00 |114 -0.08375 -2.99465e+00
115 -0.02801 -3.88773e+00 |116 -0.01552 -1.94020e+00 |117 -0.03768  1.41764e+00
118  0.02481  5.18144e+00 |119  0.06746  3.72795e+00 |120  0.04195  8.80974e+00
121  0.08746 -4.17320e+00 |122  0.03279  4.19442e+00 |123  0.14519 -9.15374e+00
124  0.00854 -1.41131e+00 |125 -0.02904  9.88619e-01 |126 -0.03506  2.33866e+00
127 -0.01497  1.23480e+00 |128  0.04971 -4.39492e+00 |129 -0.00142  3.35464e-01
130 -0.00091  8.23638e-02 |131 -0.00346  3.75429e-01 |132 -0.00018  2.23892e-02
133 -0.00000 -2.97622e-13 |134  0.29239  1.51601e+01 |135  0.20145  1.56167e+01

 - final statistics:
135 variables; iteration 33; function evaluation 49
Function value 6.0631e+03; maximum gradient component mag -9.7118e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42308 -9.71176e+00 |  2 -0.07623 -2.39456e+00 |  3 -0.00879  1.13142e-01
  4 -0.00896  1.18626e-01 |  5 -0.00913  1.24283e-01 |  6 -0.00930  1.30104e-01
  7 -0.00946  1.36091e-01 |  8 -0.00961  1.42226e-01 |  9 -0.00976  1.48494e-01
 10 -0.00990  1.54887e-01 | 11 -0.01002  1.61397e-01 | 12 -0.01013  1.68019e-01
 13 -0.01024  1.74754e-01 | 14 -0.01032  1.81605e-01 | 15 -0.01039  1.88581e-01
 16 -0.01045  1.95690e-01 | 17 -0.01048  2.02944e-01 | 18 -0.01050  2.10353e-01
 19 -0.01049  2.17930e-01 | 20 -0.01046  2.25700e-01 | 21 -0.01041  2.33707e-01
 22 -0.01033  2.42005e-01 | 23 -0.01023  2.50661e-01 | 24 -0.01011  2.59751e-01
 25 -0.00995  2.69359e-01 | 26 -0.00977  2.79571e-01 | 27 -0.00956  2.90472e-01
 28 -0.00932  3.02154e-01 | 29 -0.00905  3.14699e-01 | 30 -0.00875  3.28131e-01
 31 -0.00843  3.42590e-01 | 32 -0.00809  3.58062e-01 | 33 -0.00773  3.74500e-01
 34 -0.00736  3.91751e-01 | 35 -0.00700  4.09521e-01 | 36 -0.00664  4.27365e-01
 37 -0.00630  4.44734e-01 | 38 -0.00599  4.60968e-01 | 39 -0.00572  4.75382e-01
 40 -0.00550  4.87314e-01 | 41 -0.00534  4.96130e-01 | 42 -0.00523  5.01222e-01
 43 -0.00518  5.02141e-01 | 44 -0.00517  4.98548e-01 | 45 -0.00519  4.90204e-01
 46 -0.00521  4.76975e-01 | 47 -0.00522  4.58622e-01 | 48 -0.00520  4.34546e-01
 49 -0.00511  4.04055e-01 | 50 -0.00493  3.66248e-01 | 51 -0.00465  3.20443e-01
 52 -0.00423  2.66363e-01 | 53 -0.00365  2.05101e-01 | 54 -0.00287  1.40009e-01
 55 -0.00184  7.74357e-02 | 56 -0.00049  2.79194e-02 | 57  0.00125  3.60966e-03
 58  0.00342  1.37239e-02 | 59  0.00605  5.36798e-02 | 60  0.00898  9.08128e-02
 61  0.01191  5.96331e-02 | 62  0.01444 -1.12729e-01 | 63  0.01635 -4.40080e-01
 64  0.01799 -8.11567e-01 | 65  0.02018 -1.02516e+00 | 66  0.02339 -9.66672e-01
