
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3259025e+03; maximum gradient component mag -2.6141e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334 -4.61563e+01 |  2 -0.09289 -2.61413e+02 |  3  0.00000  4.64226e+00
  4  0.00000  4.76266e+00 |  5  0.00000  4.88406e+00 |  6  0.00000  5.00622e+00
  7  0.00000  5.12896e+00 |  8  0.00000  5.25186e+00 |  9  0.00000  5.37453e+00
 10  0.00000  5.49659e+00 | 11  0.00000  5.61765e+00 | 12  0.00000  5.73733e+00
 13  0.00000  5.85520e+00 | 14  0.00000  5.97089e+00 | 15  0.00000  6.08390e+00
 16  0.00000  6.19372e+00 | 17  0.00000  6.29970e+00 | 18  0.00000  6.40114e+00
 19  0.00000  6.49734e+00 | 20  0.00000  6.58770e+00 | 21  0.00000  6.67180e+00
 22  0.00000  6.74906e+00 | 23  0.00000  6.81884e+00 | 24  0.00000  6.88032e+00
 25  0.00000  6.93249e+00 | 26  0.00000  6.97420e+00 | 27  0.00000  7.00412e+00
 28  0.00000  7.02103e+00 | 29  0.00000  7.02374e+00 | 30  0.00000  7.01064e+00
 31  0.00000  6.98202e+00 | 32  0.00000  6.93702e+00 | 33  0.00000  6.87523e+00
 34  0.00000  6.79659e+00 | 35  0.00000  6.70103e+00 | 36  0.00000  6.58876e+00
 37  0.00000  6.46032e+00 | 38  0.00000  6.31620e+00 | 39  0.00000  6.15701e+00
 40  0.00000  5.98322e+00 | 41  0.00000  5.79482e+00 | 42  0.00000  5.59076e+00
 43  0.00000  5.36927e+00 | 44  0.00000  5.12654e+00 | 45  0.00000  4.85664e+00
 46  0.00000  4.55241e+00 | 47  0.00000  4.20563e+00 | 48  0.00000  3.80674e+00
 49  0.00000  3.34620e+00 | 50  0.00000  2.81387e+00 | 51  0.00000  2.19982e+00
 52  0.00000  1.49390e+00 | 53  0.00000  6.87281e-01 | 54  0.00000 -2.27429e-01
 55  0.00000 -1.25516e+00 | 56  0.00000 -2.39908e+00 | 57  0.00000 -3.65854e+00
 58  0.00000 -5.02808e+00 | 59  0.00000 -6.49818e+00 | 60  0.00000 -8.05269e+00
 61  0.00000 -9.66993e+00 | 62  0.00000 -1.13203e+01 | 63  0.00000 -1.29692e+01
 64  0.00000 -1.45772e+01 | 65  0.00000 -1.61017e+01 | 66  0.00000 -1.75011e+01
 67  0.00000 -1.87434e+01 | 68  0.00000 -1.98085e+01 | 69  0.00000 -2.06894e+01
 70  0.00000 -2.13917e+01 | 71  0.00000 -2.19189e+01 | 72  0.00000 -2.22649e+01
 73  0.00000 -2.24055e+01 | 74  0.00000 -2.23045e+01 | 75  0.00000 -2.19347e+01
 76  0.00000 -2.13042e+01 | 77  0.00000 -2.04829e+01 | 78  0.00000 -1.95935e+01
 79  0.00000 -1.87819e+01 | 80  0.00000 -1.81399e+01 | 81  0.00000 -1.76845e+01
 82  0.00000 -1.73705e+01 | 83  0.00000 -1.72095e+01 | 84  0.00000 -1.73570e+01
 85  0.00000 -1.78741e+01 | 86  0.00000 -1.85158e+01 | 87  0.00000 -1.97559e+01
 88  0.00000 -2.14841e+01 | 89  0.00000 -2.38151e+01 | 90  0.00000 -2.57645e+01
 91  0.00000 -2.78636e+01 | 92  0.00000 -3.04750e+01 | 93  0.00000 -3.26364e+01
 94  0.00000 -3.82961e+01 | 95  0.00000 -4.92892e+01 | 96  0.00000 -5.55796e+01
 97  0.00000 -5.38028e+01 | 98  0.00000 -6.16122e+01 | 99  0.00000 -7.40385e+01
100  0.00000 -5.96259e+01 |101  0.00000 -3.46828e+01 |102  0.00000 -2.72917e+01
103  0.00000 -1.91383e+01 |104  0.00000 -1.06462e-02 |105  0.00000  4.63929e+01
106  0.00000  1.06467e+02 |107  0.00000  1.41387e+02 |108  0.00000  1.32189e+02
109  0.00000  7.17025e+01 |110  0.00000 -5.07651e+00 |111  0.00000  5.09538e+00
112  0.00000  2.76087e+01 |113  0.00000  5.42497e+01 |114  0.00000  7.40005e+01
115  0.00000  4.09526e+01 |116  0.00000  2.46889e+01 |117  0.00000  1.94285e+01
118  0.00000 -1.90787e+01 |119  0.00000 -4.49497e+01 |120  0.00000 -3.15843e+01
121  0.00000 -5.06297e+01 |122  0.00000 -2.06933e+01 |123  0.00000 -9.03587e+01
124  0.00000  3.42319e+00 |125  0.00000  2.57154e+01 |126  0.00000  2.82050e+01
127  0.00000  9.36104e+00 |128  0.00000 -3.69515e+01 |129  0.00000 -1.38175e+01
130  0.00000 -3.70956e+00 |131  0.00000  1.08141e+01 |132  0.00000  5.18142e+00
133  0.00000  1.49593e+00 |134  0.00000  1.14593e-01 |135  0.27670 -3.68448e+01
136  0.18753 -5.81993e+01 |

Intermediate statistics: 136 variables; iteration 20; function evaluation 25; phase 1
Function value 7.2910767e+03; maximum gradient component mag -1.0851e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42438 -4.99864e+01 |  2 -0.11232 -1.08512e+02 |  3 -0.00752  1.32644e+00
  4 -0.00765  1.37074e+00 |  5 -0.00777  1.41697e+00 |  6 -0.00788  1.46525e+00
  7 -0.00799  1.51578e+00 |  8 -0.00808  1.56865e+00 |  9 -0.00815  1.62400e+00
 10 -0.00822  1.68199e+00 | 11 -0.00826  1.74279e+00 | 12 -0.00829  1.80660e+00
 13 -0.00829  1.87360e+00 | 14 -0.00828  1.94403e+00 | 15 -0.00824  2.01810e+00
 16 -0.00817  2.09604e+00 | 17 -0.00807  2.17806e+00 | 18 -0.00794  2.26431e+00
 19 -0.00778  2.35492e+00 | 20 -0.00759  2.44999e+00 | 21 -0.00735  2.54976e+00
 22 -0.00708  2.65446e+00 | 23 -0.00676  2.76435e+00 | 24 -0.00641  2.87967e+00
 25 -0.00600  3.00054e+00 | 26 -0.00555  3.12691e+00 | 27 -0.00504  3.25853e+00
 28 -0.00448  3.39491e+00 | 29 -0.00386  3.53530e+00 | 30 -0.00320  3.67831e+00
 31 -0.00248  3.82340e+00 | 32 -0.00172  3.96878e+00 | 33 -0.00093  4.11239e+00
 34 -0.00010  4.25153e+00 | 35  0.00073  4.38258e+00 | 36  0.00156  4.50098e+00
 37  0.00235  4.60155e+00 | 38  0.00309  4.67820e+00 | 39  0.00375  4.72440e+00
 40  0.00428  4.73323e+00 | 41  0.00467  4.69734e+00 | 42  0.00487  4.60918e+00
 43  0.00487  4.46215e+00 | 44  0.00465  4.25049e+00 | 45  0.00421  3.96969e+00
 46  0.00355  3.61715e+00 | 47  0.00268  3.19168e+00 | 48  0.00164  2.69297e+00
 49  0.00045  2.12337e+00 | 50 -0.00084  1.48749e+00 | 51 -0.00218  7.93739e-01
 52 -0.00350  5.49614e-02 | 53 -0.00468 -7.09436e-01 | 54 -0.00561 -1.47206e+00
 55 -0.00610 -2.19590e+00 | 56 -0.00592 -2.83564e+00 | 57 -0.00479 -3.33704e+00
 58 -0.00238 -3.64466e+00 | 59  0.00162 -3.71682e+00 | 60  0.00741 -3.55044e+00
 61  0.01489 -3.21610e+00 | 62  0.02339 -2.88904e+00 | 63  0.03146 -2.84252e+00
 64  0.03679 -3.36996e+00 | 65  0.03695 -4.65064e+00 | 66  0.03074 -6.64596e+00
 67  0.01969 -9.07690e+00 | 68  0.00769 -1.14511e+01 | 69 -0.00141 -1.32623e+01
 70 -0.00607 -1.42954e+01 | 71 -0.00642 -1.45850e+01 | 72 -0.00273 -1.41908e+01
 73  0.00570 -1.30497e+01 | 74  0.01918 -1.11802e+01 | 75  0.03457 -9.04625e+00
 76  0.04491 -7.37951e+00 | 77  0.04513 -6.66704e+00 | 78  0.03652 -7.04146e+00
 79  0.02399 -8.29389e+00 | 80  0.01131 -1.00159e+01 | 81  0.00035 -1.18098e+01
 82 -0.00717 -1.32207e+01 | 83 -0.00999 -1.39551e+01 | 84 -0.01008 -1.43949e+01
 85 -0.00840 -1.46947e+01 | 86  0.00167 -1.36577e+01 | 87  0.00878 -1.34176e+01
 88  0.01287 -1.37607e+01 | 89 -0.00116 -1.63543e+01 | 90  0.01074 -1.49601e+01
 91  0.01067 -1.44881e+01 | 92 -0.00487 -1.57684e+01 | 93 -0.02325 -1.64296e+01
 94 -0.00564 -1.31308e+01 | 95  0.01072 -1.31544e+01 | 96  0.09104 -1.34732e+00
 97 -0.04155 -1.77133e+01 | 98 -0.03169 -1.83633e+01 | 99  0.07929 -1.22822e+01
100  0.00968 -1.01963e+01 |101 -0.04012 -9.33053e+00 |102  0.04605  1.11078e+01
103 -0.01319 -9.76235e+00 |104  0.01075 -4.02134e+00 |105 -0.01357  1.43686e+01
106 -0.02462  4.66860e+01 |107 -0.03379  6.19146e+01 |108 -0.03092  5.51424e+01
109 -0.05662  5.57463e+00 |110  0.04763  5.41690e+00 |111  0.02585  1.40318e+01
112 -0.00122  7.61625e+00 |113 -0.01581  1.82724e+01 |114 -0.06612  8.22931e+00
115 -0.00878  9.30108e+00 |116  0.00916  8.43739e+00 |117 -0.03950 -3.00838e+00
118 -0.00301 -1.15231e+01 |119  0.07733 -7.35284e+00 |120 -0.03687 -1.60486e+01
121  0.07952 -7.27116e+00 |122 -0.02418 -1.09234e+01 |123  0.13395  6.00294e+00
124 -0.01221 -1.48357e+00 |125 -0.04646  9.22559e-01 |126 -0.06387 -2.07323e+00
127 -0.02553 -8.28250e-01 |128  0.09747  2.69162e+00 |129  0.03571  2.19145e+00
130  0.02355  2.90161e+00 |131 -0.03095 -8.74446e-01 |132 -0.02062 -7.53749e-01
133 -0.00893 -7.50836e-01 |134 -0.00055 -3.34381e-02 |135  0.31097  1.13570e+01
136  0.21180 -1.57555e+01 |

 - final statistics:
136 variables; iteration 39; function evaluation 54
Function value 7.2821e+03; maximum gradient component mag -9.4233e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42267 -9.42332e+00 |  2 -0.09595  4.08317e+00 |  3 -0.01003  4.00670e-02
  4 -0.01025  3.99976e-02 |  5 -0.01047  4.00429e-02 |  6 -0.01069  4.02388e-02
