
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3246038e+03; maximum gradient component mag -2.6596e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  7.78288e+01 |  2 -0.09289 -2.65963e+02 |  3  0.00000  3.66001e+00
  4  0.00000  3.74890e+00 |  5  0.00000  3.83772e+00 |  6  0.00000  3.92616e+00
  7  0.00000  4.01399e+00 |  8  0.00000  4.10074e+00 |  9  0.00000  4.18598e+00
 10  0.00000  4.26930e+00 | 11  0.00000  4.35023e+00 | 12  0.00000  4.42832e+00
 13  0.00000  4.50308e+00 | 14  0.00000  4.57403e+00 | 15  0.00000  4.64063e+00
 16  0.00000  4.70226e+00 | 17  0.00000  4.75824e+00 | 18  0.00000  4.80781e+00
 19  0.00000  4.85024e+00 | 20  0.00000  4.88485e+00 | 21  0.00000  4.91107e+00
 22  0.00000  4.92817e+00 | 23  0.00000  4.93539e+00 | 24  0.00000  4.93181e+00
 25  0.00000  4.91635e+00 | 26  0.00000  4.88787e+00 | 27  0.00000  4.84514e+00
 28  0.00000  4.78701e+00 | 29  0.00000  4.71239e+00 | 30  0.00000  4.61998e+00
 31  0.00000  4.50975e+00 | 32  0.00000  4.38097e+00 | 33  0.00000  4.23326e+00
 34  0.00000  4.06661e+00 | 35  0.00000  3.88115e+00 | 36  0.00000  3.67727e+00
 37  0.00000  3.45573e+00 | 38  0.00000  3.21727e+00 | 39  0.00000  2.96278e+00
 40  0.00000  2.69317e+00 | 41  0.00000  2.40916e+00 | 42  0.00000  2.11088e+00
 43  0.00000  1.79760e+00 | 44  0.00000  1.46663e+00 | 45  0.00000  1.11309e+00
 46  0.00000  7.30433e-01 | 47  0.00000  3.11093e-01 | 48  0.00000 -1.53240e-01
 49  0.00000 -6.71297e-01 | 50  0.00000 -1.25196e+00 | 51  0.00000 -1.90429e+00
 52  0.00000 -2.63685e+00 | 53  0.00000 -3.45738e+00 | 54  0.00000 -4.37256e+00
 55  0.00000 -5.38549e+00 | 56  0.00000 -6.50118e+00 | 57  0.00000 -7.71684e+00
 58  0.00000 -9.02548e+00 | 59  0.00000 -1.04169e+01 | 60  0.00000 -1.18732e+01
 61  0.00000 -1.33713e+01 | 62  0.00000 -1.48794e+01 | 63  0.00000 -1.63609e+01
 64  0.00000 -1.77743e+01 | 65  0.00000 -1.90748e+01 | 66  0.00000 -2.02185e+01
 67  0.00000 -2.11714e+01 | 68  0.00000 -2.19120e+01 | 69  0.00000 -2.24318e+01
 70  0.00000 -2.27362e+01 | 71  0.00000 -2.28288e+01 | 72  0.00000 -2.27050e+01
 73  0.00000 -2.23438e+01 | 74  0.00000 -2.17134e+01 | 75  0.00000 -2.07930e+01
 76  0.00000 -1.95989e+01 | 77  0.00000 -1.82098e+01 | 78  0.00000 -1.67575e+01
 79  0.00000 -1.53942e+01 | 80  0.00000 -1.42157e+01 | 81  0.00000 -1.32382e+01
 82  0.00000 -1.24139e+01 | 83  0.00000 -1.17494e+01 | 84  0.00000 -1.13920e+01
 85  0.00000 -1.13926e+01 | 86  0.00000 -1.14970e+01 | 87  0.00000 -1.21707e+01
 88  0.00000 -1.33018e+01 | 89  0.00000 -1.50144e+01 | 90  0.00000 -1.63327e+01
 91  0.00000 -1.78232e+01 | 92  0.00000 -1.98360e+01 | 93  0.00000 -2.13641e+01
 94  0.00000 -2.63948e+01 | 95  0.00000 -3.70618e+01 | 96  0.00000 -4.41199e+01
 97  0.00000 -4.53622e+01 | 98  0.00000 -5.85685e+01 | 99  0.00000 -7.49603e+01
100  0.00000 -5.70879e+01 |101  0.00000 -2.61723e+01 |102  0.00000 -1.81734e+01
103  0.00000 -1.54295e+01 |104  0.00000 -9.04912e+00 |105  0.00000  2.43645e+01
106  0.00000  8.70082e+01 |107  0.00000  1.18108e+02 |108  0.00000  1.18084e+02
109  0.00000  8.44030e+01 |110  0.00000  5.19443e+01 |111  0.00000  4.00576e+01
112  0.00000  4.22734e+01 |113  0.00000  3.53971e+01 |114  0.00000  2.92669e+01
115  0.00000  1.37393e+01 |116  0.00000 -4.55082e+00 |117  0.00000 -1.57079e+01
118  0.00000 -2.27937e+01 |119  0.00000 -2.45630e+01 |120  0.00000 -2.16328e+01
121  0.00000 -1.79660e+01 |122  0.00000 -6.92301e+00 |123  0.00000 -3.38841e-01
124  0.00000  4.27773e+00 |125  0.00000  4.62255e+00 |126  0.00000  3.08667e+00
127  0.00000  2.85467e+00 |128  0.00000 -2.14981e-01 |129  0.00000 -1.81933e+00
130  0.00000  1.47565e-02 |131  0.00000  5.79950e-01 |132  0.00000  1.45406e-01
133  0.00000  1.35377e-04 |134  0.00000 -1.13172e-08 |135  0.27670 -3.68448e+01
136  0.18753 -5.81993e+01 |

Intermediate statistics: 136 variables; iteration 20; function evaluation 29; phase 1
Function value 5.3023438e+03; maximum gradient component mag -5.0765e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42668 -2.67085e+01 |  2 -0.09984 -5.07646e+01 |  3 -0.00882  2.86548e-01
  4 -0.00900  2.92349e-01 |  5 -0.00919  2.98067e-01 |  6 -0.00936  3.03681e-01
  7 -0.00953  3.09181e-01 |  8 -0.00970  3.14534e-01 |  9 -0.00985  3.19713e-01
 10 -0.01000  3.24699e-01 | 11 -0.01014  3.29474e-01 | 12 -0.01026  3.34026e-01
 13 -0.01037  3.38343e-01 | 14 -0.01047  3.42420e-01 | 15 -0.01055  3.46247e-01
 16 -0.01061  3.49814e-01 | 17 -0.01065  3.53100e-01 | 18 -0.01067  3.56088e-01
 19 -0.01067  3.58774e-01 | 20 -0.01064  3.61172e-01 | 21 -0.01059  3.63320e-01
 22 -0.01050  3.65247e-01 | 23 -0.01039  3.66981e-01 | 24 -0.01025  3.68539e-01
 25 -0.01007  3.69922e-01 | 26 -0.00985  3.71121e-01 | 27 -0.00960  3.72111e-01
 28 -0.00930  3.72867e-01 | 29 -0.00896  3.73356e-01 | 30 -0.00858  3.73469e-01
 31 -0.00815  3.73238e-01 | 32 -0.00768  3.72507e-01 | 33 -0.00718  3.71080e-01
 34 -0.00664  3.68681e-01 | 35 -0.00607  3.64921e-01 | 36 -0.00549  3.59319e-01
 37 -0.00490  3.51331e-01 | 38 -0.00432  3.40332e-01 | 39 -0.00375  3.25684e-01
 40 -0.00322  3.06769e-01 | 41 -0.00274  2.83032e-01 | 42 -0.00232  2.54035e-01
 43 -0.00196  2.19519e-01 | 44 -0.00168  1.79254e-01 | 45 -0.00145  1.32937e-01
 46 -0.00127  8.01745e-02 | 47 -0.00112  2.05569e-02 | 48 -0.00097 -4.62213e-02
 49 -0.00080 -1.20252e-01 | 50 -0.00058 -2.01279e-01 | 51 -0.00027 -2.88545e-01
 52  0.00018 -3.80439e-01 | 53  0.00080 -4.74238e-01 | 54  0.00165 -5.65748e-01
 55  0.00279 -6.48608e-01 | 56  0.00430 -7.15226e-01 | 57  0.00625 -7.55508e-01
 58  0.00872 -7.59476e-01 | 59  0.01175 -7.21151e-01 | 60  0.01536 -6.45048e-01
 61  0.01942 -5.56385e-01 | 62  0.02360 -5.10597e-01 | 63  0.02733 -5.93910e-01
 64  0.02984 -8.99681e-01 | 65  0.03049 -1.47182e+00 | 66  0.02932 -2.23801e+00
 67  0.02722 -3.00462e+00 | 68  0.02544 -3.55059e+00 | 69  0.02478 -3.75333e+00
 70  0.02523 -3.63373e+00 | 71  0.02633 -3.28727e+00 | 72  0.02753 -2.81157e+00
