
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3096801e+03; maximum gradient component mag -2.6498e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  1.04852e+01 |  2 -0.09289 -2.64977e+02 |  3  0.00000  4.57285e+00
  4  0.00000  4.69109e+00 |  5  0.00000  4.81028e+00 |  6  0.00000  4.93014e+00
  7  0.00000  5.05053e+00 |  8  0.00000  5.17100e+00 |  9  0.00000  5.29117e+00
 10  0.00000  5.41066e+00 | 11  0.00000  5.52907e+00 | 12  0.00000  5.64602e+00
 13  0.00000  5.76108e+00 | 14  0.00000  5.87387e+00 | 15  0.00000  5.98390e+00
 16  0.00000  6.09064e+00 | 17  0.00000  6.19344e+00 | 18  0.00000  6.29161e+00
 19  0.00000  6.38445e+00 | 20  0.00000  6.47136e+00 | 21  0.00000  6.55189e+00
 22  0.00000  6.62546e+00 | 23  0.00000  6.69143e+00 | 24  0.00000  6.74896e+00
 25  0.00000  6.79705e+00 | 26  0.00000  6.83455e+00 | 27  0.00000  6.86014e+00
 28  0.00000  6.87259e+00 | 29  0.00000  6.87072e+00 | 30  0.00000  6.85293e+00
 31  0.00000  6.81948e+00 | 32  0.00000  6.76951e+00 | 33  0.00000  6.70258e+00
 34  0.00000  6.61863e+00 | 35  0.00000  6.51759e+00 | 36  0.00000  6.39963e+00
 37  0.00000  6.26527e+00 | 38  0.00000  6.11500e+00 | 39  0.00000  5.94937e+00
 40  0.00000  5.76887e+00 | 41  0.00000  5.57347e+00 | 42  0.00000  5.36219e+00
 43  0.00000  5.13324e+00 | 44  0.00000  4.88281e+00 | 45  0.00000  4.60496e+00
 46  0.00000  4.29248e+00 | 47  0.00000  3.93711e+00 | 48  0.00000  3.52930e+00
 49  0.00000  3.05949e+00 | 50  0.00000  2.51753e+00 | 51  0.00000  1.89346e+00
 52  0.00000  1.17718e+00 | 53  0.00000  3.59847e-01 | 54  0.00000 -5.65960e-01
 55  0.00000 -1.60509e+00 | 56  0.00000 -2.76095e+00 | 57  0.00000 -4.03281e+00
 58  0.00000 -5.41515e+00 | 59  0.00000 -6.89848e+00 | 60  0.00000 -8.46661e+00
 61  0.00000 -1.00979e+01 | 62  0.00000 -1.17626e+01 | 63  0.00000 -1.34262e+01
 64  0.00000 -1.50491e+01 | 65  0.00000 -1.65889e+01 | 66  0.00000 -1.80039e+01
 67  0.00000 -1.92618e+01 | 68  0.00000 -2.03427e+01 | 69  0.00000 -2.12392e+01
 70  0.00000 -2.19568e+01 | 71  0.00000 -2.24985e+01 | 72  0.00000 -2.28577e+01
 73  0.00000 -2.30097e+01 | 74  0.00000 -2.29178e+01 | 75  0.00000 -2.25538e+01
 76  0.00000 -2.19252e+01 | 77  0.00000 -2.11004e+01 | 78  0.00000 -2.02011e+01
 79  0.00000 -1.93719e+01 | 80  0.00000 -1.87031e+01 | 81  0.00000 -1.82105e+01
 82  0.00000 -1.78474e+01 | 83  0.00000 -1.76242e+01 | 84  0.00000 -1.76958e+01
 85  0.00000 -1.81229e+01 | 86  0.00000 -1.86617e+01 | 87  0.00000 -1.97872e+01
 88  0.00000 -2.13884e+01 | 89  0.00000 -2.35708e+01 | 90  0.00000 -2.53190e+01
 91  0.00000 -2.70951e+01 | 92  0.00000 -2.91409e+01 | 93  0.00000 -3.03492e+01
 94  0.00000 -3.46317e+01 | 95  0.00000 -4.41592e+01 | 96  0.00000 -4.99006e+01
 97  0.00000 -5.00543e+01 | 98  0.00000 -6.28905e+01 | 99  0.00000 -7.99397e+01
100  0.00000 -6.35434e+01 |101  0.00000 -3.39662e+01 |102  0.00000 -2.55942e+01
103  0.00000 -1.92450e+01 |104  0.00000 -6.11154e+00 |105  0.00000  3.53375e+01
106  0.00000  1.06279e+02 |107  0.00000  1.41480e+02 |108  0.00000  1.39781e+02
109  0.00000  8.56396e+01 |110  0.00000  9.35722e+00 |111  0.00000  1.15024e+01
112  0.00000  2.87937e+01 |113  0.00000  5.09766e+01 |114  0.00000  6.41494e+01
115  0.00000  3.16212e+01 |116  0.00000  2.04004e+01 |117  0.00000  7.73158e+00
118  0.00000 -2.11926e+01 |119  0.00000 -4.63202e+01 |120  0.00000 -3.15674e+01
121  0.00000 -4.77352e+01 |122  0.00000 -1.61523e+01 |123  0.00000 -7.63157e+01
124  0.00000  5.58844e+00 |125  0.00000  1.61876e+01 |126  0.00000  1.98175e+01
127  0.00000  5.35139e+00 |128  0.00000 -2.83461e+01 |129  0.00000 -3.56263e+00
130  0.00000  7.44667e-01 |131  0.00000  1.10612e+01 |132  0.00000  5.00107e+00
133  0.00000  1.34857e+00 |134  0.00000 -1.15572e-08 |135  0.27670 -3.68448e+01
136  0.18753 -5.81993e+01 |

Intermediate statistics: 136 variables; iteration 20; function evaluation 27; phase 1
Function value 7.2756684e+03; maximum gradient component mag -1.1588e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42749 -4.64762e+01 |  2 -0.10886 -1.15879e+02 |  3 -0.01064  2.43224e-02
  4 -0.01083  3.81705e-02 |  5 -0.01100  5.38276e-02 |  6 -0.01117  7.14787e-02
  7 -0.01132  9.13320e-02 |  8 -0.01146  1.13576e-01 |  9 -0.01159  1.38427e-01
 10 -0.01169  1.66108e-01 | 11 -0.01178  1.96849e-01 | 12 -0.01185  2.30898e-01
