
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334 -6.11092e+01 |  2 -0.09289 -1.30909e+02 |  3  0.00000  4.72980e+00
  4  0.00000  4.85287e+00 |  5  0.00000  4.97704e+00 |  6  0.00000  5.10203e+00
  7  0.00000  5.22769e+00 |  8  0.00000  5.35360e+00 |  9  0.00000  5.47936e+00
 10  0.00000  5.60460e+00 | 11  0.00000  5.72894e+00 | 12  0.00000  5.85199e+00
 13  0.00000  5.97334e+00 | 14  0.00000  6.09259e+00 | 15  0.00000  6.20929e+00
 16  0.00000  6.32290e+00 | 17  0.00000  6.43278e+00 | 18  0.00000  6.53822e+00
 19  0.00000  6.63854e+00 | 20  0.00000  6.73314e+00 | 21  0.00000  6.82159e+00
 22  0.00000  6.90334e+00 | 23  0.00000  6.97775e+00 | 24  0.00000  7.04401e+00
 25  0.00000  7.10111e+00 | 26  0.00000  7.14789e+00 | 27  0.00000  7.18304e+00
 28  0.00000  7.20530e+00 | 29  0.00000  7.21348e+00 | 30  0.00000  7.20596e+00
 31  0.00000  7.18308e+00 | 32  0.00000  7.14396e+00 | 33  0.00000  7.08820e+00
 34  0.00000  7.01575e+00 | 35  0.00000  6.92657e+00 | 36  0.00000  6.82084e+00
 37  0.00000  6.69915e+00 | 38  0.00000  6.56200e+00 | 39  0.00000  6.41002e+00
 40  0.00000  6.24369e+00 | 41  0.00000  6.06297e+00 | 42  0.00000  5.86680e+00
 43  0.00000  5.65337e+00 | 44  0.00000  5.41886e+00 | 45  0.00000  5.15738e+00
 46  0.00000  4.86176e+00 | 47  0.00000  4.52385e+00 | 48  0.00000  4.13406e+00
 49  0.00000  3.68289e+00 | 50  0.00000  3.16020e+00 | 51  0.00000  2.55608e+00
 52  0.00000  1.86036e+00 | 53  0.00000  1.06424e+00 | 54  0.00000  1.60371e-01
 55  0.00000 -8.56210e-01 | 56  0.00000 -1.98836e+00 | 57  0.00000 -3.23546e+00
 58  0.00000 -4.59200e+00 | 59  0.00000 -6.04830e+00 | 60  0.00000 -7.58812e+00
 61  0.00000 -9.18956e+00 | 62  0.00000 -1.08229e+01 | 63  0.00000 -1.24532e+01
 64  0.00000 -1.40405e+01 | 65  0.00000 -1.55421e+01 | 66  0.00000 -1.69157e+01
 67  0.00000 -1.81285e+01 | 68  0.00000 -1.91599e+01 | 69  0.00000 -2.00019e+01
 70  0.00000 -2.06590e+01 | 71  0.00000 -2.11335e+01 | 72  0.00000 -2.14177e+01
 73  0.00000 -2.14851e+01 | 74  0.00000 -2.12965e+01 | 75  0.00000 -2.08207e+01
 76  0.00000 -2.00612e+01 | 77  0.00000 -1.90836e+01 | 78  0.00000 -1.80118e+01
 79  0.00000 -1.70054e+01 | 80  0.00000 -1.61917e+01 | 81  0.00000 -1.56402e+01
 82  0.00000 -1.53538e+01 | 83  0.00000 -1.53279e+01 | 84  0.00000 -1.56022e+01
 85  0.00000 -1.62493e+01 | 86  0.00000 -1.72953e+01 | 87  0.00000 -1.86462e+01
 88  0.00000 -2.01465e+01 | 89  0.00000 -2.17745e+01 | 90  0.00000 -2.37528e+01
 91  0.00000 -2.62238e+01 | 92  0.00000 -2.91886e+01 | 93  0.00000 -3.27230e+01
 94  0.00000 -3.69153e+01 | 95  0.00000 -4.12353e+01 | 96  0.00000 -4.46993e+01
 97  0.00000 -4.73181e+01 | 98  0.00000 -4.95934e+01 | 99  0.00000 -5.01033e+01
100  0.00000 -4.72176e+01 |101  0.00000 -4.13889e+01 |102  0.00000 -3.16834e+01
103  0.00000 -1.58301e+01 |104  0.00000  7.04595e+00 |105  0.00000  4.39247e+01
106  0.00000  9.29041e+01 |107  0.00000  1.20985e+02 |108  0.00000  1.16413e+02
109  0.00000  7.46729e+01 |110  0.00000  9.92622e+00 |111  0.00000  1.75278e+01
112  0.00000  2.70244e+01 |113  0.00000  5.30701e+01 |114  0.00000  7.34323e+01
115  0.00000  4.09526e+01 |116  0.00000  2.46889e+01 |117  0.00000  1.94285e+01
118  0.00000 -1.90787e+01 |119  0.00000 -4.49497e+01 |120  0.00000 -3.15843e+01
121  0.00000 -5.06297e+01 |122  0.00000 -2.06933e+01 |123  0.00000 -9.03587e+01
124  0.00000  3.42319e+00 |125  0.00000  2.57154e+01 |126  0.00000  2.82050e+01
127  0.00000  9.36104e+00 |128  0.00000 -3.69515e+01 |129  0.00000 -1.38175e+01
130  0.00000 -3.70956e+00 |131  0.00000  1.08141e+01 |132  0.00000  5.18142e+00
133  0.00000  1.49593e+00 |134  0.00000  1.14593e-01 |

Intermediate statistics: 134 variables; iteration 20; function evaluation 33; phase 1
Function value 7.2696622e+03; maximum gradient component mag -5.1960e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42304 -3.76535e+01 |  2 -0.12815 -5.19603e+01 |  3 -0.00856  5.95173e-01
  4 -0.00872  6.17792e-01 |  5 -0.00887  6.41392e-01 |  6 -0.00902  6.66016e-01
  7 -0.00917  6.91662e-01 |  8 -0.00930  7.18398e-01 |  9 -0.00942  7.46266e-01
 10 -0.00954  7.75288e-01 | 11 -0.00964  8.05481e-01 | 12 -0.00972  8.36848e-01
 13 -0.00980  8.69391e-01 | 14 -0.00985  9.03107e-01 | 15 -0.00989  9.38008e-01
 16 -0.00992  9.74134e-01 | 17 -0.00992  1.01155e+00 | 18 -0.00990  1.05032e+00
 19 -0.00985  1.09045e+00 | 20 -0.00978  1.13189e+00 | 21 -0.00969  1.17451e+00
 22 -0.00957  1.21825e+00 | 23 -0.00942  1.26305e+00 | 24 -0.00925  1.30889e+00
 25 -0.00905  1.35578e+00 | 26 -0.00882  1.40372e+00 | 27 -0.00855  1.45272e+00
 28 -0.00824  1.50267e+00 | 29 -0.00790  1.55343e+00 | 30 -0.00752  1.60489e+00
 31 -0.00711  1.65655e+00 | 32 -0.00667  1.70822e+00 | 33 -0.00620  1.75965e+00
