
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2548272e+03; maximum gradient component mag 6.0819e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  6.08191e+01 |  2 -0.09289  4.99653e+00 |  3 -0.01009  1.91682e-02
  4 -0.01031  1.94984e-02 |  5 -0.01053  1.98357e-02 |  6 -0.01074  2.01713e-02
  7 -0.01095  2.05055e-02 |  8 -0.01115  2.08495e-02 |  9 -0.01135  2.11934e-02
 10 -0.01153  2.15342e-02 | 11 -0.01171  2.18814e-02 | 12 -0.01187  2.22255e-02
 13 -0.01203  2.25582e-02 | 14 -0.01217  2.28960e-02 | 15 -0.01229  2.32277e-02
 16 -0.01240  2.35581e-02 | 17 -0.01249  2.38880e-02 | 18 -0.01255  2.42240e-02
 19 -0.01260  2.45545e-02 | 20 -0.01262  2.48805e-02 | 21 -0.01262  2.51898e-02
 22 -0.01260  2.54739e-02 | 23 -0.01254  2.57357e-02 | 24 -0.01246  2.59759e-02
 25 -0.01235  2.61938e-02 | 26 -0.01220  2.64117e-02 | 27 -0.01202  2.66303e-02
 28 -0.01180  2.68590e-02 | 29 -0.01154  2.70935e-02 | 30 -0.01124  2.73215e-02
 31 -0.01091  2.75342e-02 | 32 -0.01054  2.77060e-02 | 33 -0.01013  2.78325e-02
 34 -0.00969  2.78931e-02 | 35 -0.00923  2.78635e-02 | 36 -0.00876  2.77232e-02
 37 -0.00827  2.74218e-02 | 38 -0.00779  2.69275e-02 | 39 -0.00732  2.62084e-02
 40 -0.00687  2.52783e-02 | 41 -0.00646  2.41843e-02 | 42 -0.00610  2.29537e-02
 43 -0.00578  2.15954e-02 | 44 -0.00550  2.00561e-02 | 45 -0.00527  1.82252e-02
 46 -0.00505  1.60318e-02 | 47 -0.00484  1.34829e-02 | 48 -0.00461  1.05359e-02
 49 -0.00433  7.13039e-03 | 50 -0.00397  3.24935e-03 | 51 -0.00351 -1.14534e-03
 52 -0.00290 -6.20186e-03 | 53 -0.00211 -1.19667e-02 | 54 -0.00112 -1.85730e-02
 55  0.00012 -2.61282e-02 | 56  0.00162 -3.48038e-02 | 57  0.00342 -4.47763e-02
 58  0.00553 -5.62256e-02 | 59  0.00797 -6.94247e-02 | 60  0.01071 -8.46584e-02
 61  0.01374 -1.02191e-01 | 62  0.01700 -1.22244e-01 | 63  0.02037 -1.45050e-01
 64  0.02373 -1.70689e-01 | 65  0.02687 -1.99044e-01 | 66  0.02959 -2.29849e-01
 67  0.03168 -2.62512e-01 | 68  0.03301 -2.96179e-01 | 69  0.03358 -3.30047e-01
