
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2873100e+03; maximum gradient component mag -1.1507e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334 -1.15073e+01 |  2 -0.09289 -6.32336e-02 |  3 -0.01009  1.28149e-02
  4 -0.01031  1.32511e-02 |  5 -0.01053  1.37059e-02 |  6 -0.01074  1.41702e-02
  7 -0.01095  1.46445e-02 |  8 -0.01115  1.51402e-02 |  9 -0.01135  1.56481e-02
 10 -0.01153  1.61665e-02 | 11 -0.01171  1.67067e-02 | 12 -0.01187  1.72613e-02
 13 -0.01203  1.78242e-02 | 14 -0.01217  1.84141e-02 | 15 -0.01229  1.90204e-02
 16 -0.01240  1.96466e-02 | 17 -0.01249  2.02899e-02 | 18 -0.01255  2.09553e-02
 19 -0.01260  2.16351e-02 | 20 -0.01262  2.23409e-02 | 21 -0.01262  2.30727e-02
 22 -0.01260  2.38308e-02 | 23 -0.01254  2.46233e-02 | 24 -0.01246  2.54500e-02
 25 -0.01235  2.63028e-02 | 26 -0.01220  2.71927e-02 | 27 -0.01202  2.81084e-02
 28 -0.01180  2.90527e-02 | 29 -0.01154  3.00232e-02 | 30 -0.01124  3.10190e-02
 31 -0.01091  3.20504e-02 | 32 -0.01054  3.31120e-02 | 33 -0.01013  3.42167e-02
 34 -0.00969  3.53596e-02 | 35 -0.00923  3.65382e-02 | 36 -0.00876  3.77633e-02
 37 -0.00827  3.90259e-02 | 38 -0.00779  4.03357e-02 | 39 -0.00732  4.16819e-02
 40 -0.00687  4.30559e-02 | 41 -0.00646  4.44395e-02 | 42 -0.00610  4.57887e-02
 43 -0.00578  4.70921e-02 | 44 -0.00550  4.83534e-02 | 45 -0.00527  4.95559e-02
 46 -0.00505  5.06923e-02 | 47 -0.00484  5.17934e-02 | 48 -0.00461  5.28300e-02
 49 -0.00433  5.37679e-02 | 50 -0.00397  5.46176e-02 | 51 -0.00351  5.53884e-02
 52 -0.00290  5.59934e-02 | 53 -0.00211  5.64657e-02 | 54 -0.00112  5.67552e-02
 55  0.00012  5.68147e-02 | 56  0.00162  5.66279e-02 | 57  0.00342  5.61076e-02
 58  0.00553  5.51791e-02 | 59  0.00797  5.37047e-02 | 60  0.01071  5.15121e-02
 61  0.01374  4.84553e-02 | 62  0.01700  4.43768e-02 | 63  0.02037  3.90515e-02
 64  0.02373  3.22648e-02 | 65  0.02687  2.37765e-02 | 66  0.02959  1.32285e-02
 67  0.03168  4.30514e-04 | 68  0.03301 -1.46188e-02 | 69  0.03358 -3.19162e-02
 70  0.03344 -5.12645e-02 | 71  0.03272 -7.25931e-02 | 72  0.03145 -9.56644e-02
 73  0.02960 -1.20166e-01 | 74  0.02705 -1.45561e-01 | 75  0.02380 -1.71182e-01
 76  0.01999 -1.96488e-01 | 77  0.01602 -2.21382e-01 | 78  0.01239 -2.46397e-01
 79  0.00955 -2.72362e-01 | 80  0.00761 -2.99532e-01 | 81  0.00637 -3.27421e-01
 82  0.00544 -3.54547e-01 | 83  0.00468 -3.79705e-01 | 84  0.00458 -4.03096e-01
 85  0.00522 -4.23527e-01 | 86  0.00545 -4.34760e-01 | 87  0.00713 -4.40218e-01
 88  0.00970 -4.34221e-01 | 89  0.01366 -4.12835e-01 | 90  0.01376 -3.53397e-01
