
 - final statistics:
136 variables; iteration 0; function evaluation 0
Function value 7.3339e+03; maximum gradient component mag -8.9398e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  3.42857e-04 |  2 -0.09289 -4.49824e-05 |  3 -0.01009 -1.85869e-04
  4 -0.01031 -1.69336e-04 |  5 -0.01053 -1.47202e-04 |  6 -0.01074 -1.28757e-04
  7 -0.01095 -1.14421e-04 |  8 -0.01115 -9.28044e-05 |  9 -0.01135 -7.35195e-05
 10 -0.01153 -5.89865e-05 | 11 -0.01171 -3.88201e-05 | 12 -0.01187 -2.11942e-05
 13 -0.01203 -1.33825e-05 | 14 -0.01217  2.15603e-06 | 15 -0.01229  1.40499e-05
 16 -0.01240  2.52541e-05 | 17 -0.01249  3.32882e-05 | 18 -0.01255  4.29765e-05
 19 -0.01260  4.57646e-05 | 20 -0.01262  5.08262e-05 | 21 -0.01262  5.44920e-05
 22 -0.01260  5.42582e-05 | 23 -0.01254  5.56402e-05 | 24 -0.01246  5.71505e-05
 25 -0.01235  5.10036e-05 | 26 -0.01220  4.97692e-05 | 27 -0.01202  4.46182e-05
 28 -0.01180  3.99548e-05 | 29 -0.01154  3.40115e-05 | 30 -0.01124  2.71498e-05
 31 -0.01091  2.23991e-05 | 32 -0.01054  1.25746e-05 | 33 -0.01013  8.31023e-06
 34 -0.00969  3.43247e-06 | 35 -0.00923 -5.06374e-06 | 36 -0.00876 -6.90470e-06
 37 -0.00827 -1.36415e-05 | 38 -0.00779 -1.61193e-05 | 39 -0.00732 -2.18986e-05
 40 -0.00687 -2.73638e-05 | 41 -0.00646 -2.69962e-05 | 42 -0.00610 -3.53468e-05
 43 -0.00578 -4.41624e-05 | 44 -0.00550 -4.30283e-05 | 45 -0.00527 -4.97185e-05
 46 -0.00505 -7.29228e-05 | 47 -0.00484 -7.67717e-05 | 48 -0.00461 -7.51648e-05
 49 -0.00433 -9.30353e-05 | 50 -0.00397 -1.02945e-04 | 51 -0.00351 -8.19745e-05
 52 -0.00290 -9.21346e-05 | 53 -0.00211 -7.74518e-05 | 54 -0.00112 -6.10846e-05
 55  0.00012 -3.57710e-05 | 56  0.00162 -8.61865e-06 | 57  0.00342  1.58170e-05
 58  0.00553  5.39342e-05 | 59  0.00797  6.74636e-05 | 60  0.01071  2.22096e-05
 61  0.01374 -6.46098e-05 | 62  0.01700 -1.44247e-04 | 63  0.02037 -2.06183e-04
 64  0.02373 -2.00493e-04 | 65  0.02687 -9.20381e-05 | 66  0.02959  4.29626e-06
 67  0.03168  5.56673e-05 | 68  0.03301  1.09767e-04 | 69  0.03358  1.16099e-04
 70  0.03344  1.61710e-04 | 71  0.03272  1.67379e-04 | 72  0.03145  1.59030e-04
 73  0.02960  9.18568e-05 | 74  0.02705 -4.12280e-05 | 75  0.02380 -1.90773e-04
 76  0.01999 -2.66963e-04 | 77  0.01602 -1.72955e-04 | 78  0.01239 -2.48857e-05
 79  0.00955  4.30833e-05 | 80  0.00761  2.81865e-05 | 81  0.00637 -1.30858e-05
 82  0.00544 -2.13132e-05 | 83  0.00468 -3.49698e-05 | 84  0.00458 -1.64787e-05
 85  0.00522  1.82658e-05 | 86  0.00545  9.88317e-05 | 87  0.00713  1.38754e-04
 88  0.00970  1.09721e-04 | 89  0.01366  3.18350e-05 | 90  0.01376 -1.50088e-04
 91  0.01250 -3.07906e-04 | 92  0.01081 -3.56576e-04 | 93  0.00275 -2.10738e-04
 94  0.00360  1.22805e-04 | 95  0.02294  2.46820e-04 | 96  0.02140  2.18153e-04
 97 -0.00268 -2.85022e-04 | 98  0.01577 -1.85737e-04 | 99  0.08374  3.62073e-04
100  0.02820  1.59675e-05 |101 -0.01452 -7.73192e-05 |102  0.00430 -3.92145e-04
103  0.01938  8.43721e-05 |104  0.03866  3.71267e-04 |105  0.00285 -6.72724e-05
106 -0.06248  5.65269e-05 |107 -0.07893 -8.93977e-04 |108 -0.07730  8.79329e-04
109 -0.03457 -1.28565e-04 |110  0.06971 -1.31279e-04 |111  0.02361  2.55427e-04
112  0.01375 -5.24821e-04 |113 -0.02797  6.85291e-04 |114 -0.06716  6.67420e-04
115 -0.00654  1.58351e-04 |116  0.00456 -4.44017e-04 |117 -0.02731 -3.26885e-04
118  0.02817  5.21086e-06 |119  0.07344  3.74190e-04 |120  0.01038  1.89617e-04
121  0.08254 -1.46156e-04 |122  0.00575 -4.20524e-04 |123  0.13287  1.67393e-04
124 -0.00532 -1.54194e-04 |125 -0.04646  3.32487e-04 |126 -0.05671  1.20902e-04
127 -0.02192  2.26019e-05 |128  0.09420 -2.07907e-04 |129  0.03190  1.11375e-05
130  0.01685  1.99918e-04 |131 -0.02798 -1.08237e-04 |132 -0.01758 -4.06170e-05
133 -0.00588 -2.39738e-04 |134 -0.00040 -1.75992e-05 |135  0.27670 -1.33095e-04
136  0.18753  3.27385e-04 |

 - final statistics:
146 variables; iteration 0; function evaluation 0
Function value 7.3339e+03; maximum gradient component mag -8.9398e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  3.42857e-04 |  2  0.37110 -8.22340e-05 |  3 -0.12614  7.12729e-04
  4 -0.01321  1.02925e-04 |  5 -0.70915  1.63168e-05 |  6 -0.60419 -6.22996e-05
  7  0.37628  9.44984e-05 |  8 -0.18524  2.57210e-04 |  9  0.03399  3.94635e-04
 10 -0.60948 -4.58921e-04 | 11 -0.62338 -4.94760e-04 | 12 -0.09289 -4.49824e-05
 13 -0.01009 -1.85869e-04 | 14 -0.01031 -1.69336e-04 | 15 -0.01053 -1.47202e-04
 16 -0.01074 -1.28757e-04 | 17 -0.01095 -1.14421e-04 | 18 -0.01115 -9.28044e-05
 19 -0.01135 -7.35195e-05 | 20 -0.01153 -5.89865e-05 | 21 -0.01171 -3.88201e-05
 22 -0.01187 -2.11942e-05 | 23 -0.01203 -1.33825e-05 | 24 -0.01217  2.15603e-06
 25 -0.01229  1.40499e-05 | 26 -0.01240  2.52541e-05 | 27 -0.01249  3.32882e-05
 28 -0.01255  4.29765e-05 | 29 -0.01260  4.57646e-05 | 30 -0.01262  5.08262e-05
 31 -0.01262  5.44920e-05 | 32 -0.01260  5.42582e-05 | 33 -0.01254  5.56402e-05
 34 -0.01246  5.71505e-05 | 35 -0.01235  5.10036e-05 | 36 -0.01220  4.97692e-05
 37 -0.01202  4.46182e-05 | 38 -0.01180  3.99548e-05 | 39 -0.01154  3.40115e-05
 40 -0.01124  2.71498e-05 | 41 -0.01091  2.23991e-05 | 42 -0.01054  1.25746e-05
