
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 6.8696781e+03; maximum gradient component mag -2.5468e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  1.87048e+01 |  2 -0.09289  5.38891e+00 |  3 -0.01009 -3.87878e-01
  4 -0.01031 -3.96394e-01 |  5 -0.01053 -4.04892e-01 |  6 -0.01074 -4.13362e-01
  7 -0.01095 -4.21792e-01 |  8 -0.01115 -4.30144e-01 |  9 -0.01135 -4.38400e-01
 10 -0.01153 -4.46545e-01 | 11 -0.01171 -4.54546e-01 | 12 -0.01187 -4.62397e-01
 13 -0.01203 -4.70091e-01 | 14 -0.01217 -4.77601e-01 | 15 -0.01229 -4.84927e-01
 16 -0.01240 -4.92059e-01 | 17 -0.01249 -4.98984e-01 | 18 -0.01255 -5.05673e-01
 19 -0.01260 -5.12103e-01 | 20 -0.01262 -5.18223e-01 | 21 -0.01262 -5.23994e-01
 22 -0.01260 -5.29354e-01 | 23 -0.01254 -5.34206e-01 | 24 -0.01246 -5.38436e-01
 25 -0.01235 -5.41898e-01 | 26 -0.01220 -5.44399e-01 | 27 -0.01202 -5.45745e-01
 28 -0.01180 -5.45725e-01 | 29 -0.01154 -5.44154e-01 | 30 -0.01124 -5.40827e-01
 31 -0.01091 -5.35747e-01 | 32 -0.01054 -5.28895e-01 | 33 -0.01013 -5.20381e-01
 34 -0.00969 -5.10454e-01 | 35 -0.00923 -4.99474e-01 | 36 -0.00876 -4.87916e-01
 37 -0.00827 -4.76409e-01 | 38 -0.00779 -4.65641e-01 | 39 -0.00732 -4.56412e-01
 40 -0.00687 -4.49548e-01 | 41 -0.00646 -4.45819e-01 | 42 -0.00610 -4.45827e-01
 43 -0.00578 -4.49910e-01 | 44 -0.00550 -4.58036e-01 | 45 -0.00527 -4.69873e-01
 46 -0.00505 -4.84869e-01 | 47 -0.00484 -5.02293e-01 | 48 -0.00461 -5.21352e-01
 49 -0.00433 -5.41430e-01 | 50 -0.00397 -5.62064e-01 | 51 -0.00351 -5.83270e-01
 52 -0.00290 -6.05592e-01 | 53 -0.00211 -6.30121e-01 | 54 -0.00112 -6.58601e-01
 55  0.00012 -6.92805e-01 | 56  0.00162 -7.35108e-01 | 57  0.00342 -7.86596e-01
 58  0.00553 -8.47404e-01 | 59  0.00797 -9.16699e-01 | 60  0.01071 -9.92364e-01
 61  0.01374 -1.07181e+00 | 62  0.01700 -1.15247e+00 | 63  0.02037 -1.23305e+00
 64  0.02373 -1.31362e+00 | 65  0.02687 -1.39515e+00 | 66  0.02959 -1.47831e+00
 67  0.03168 -1.56170e+00 | 68  0.03301 -1.64000e+00 | 69  0.03358 -1.70342e+00
 70  0.03344 -1.73944e+00 | 71  0.03272 -1.73578e+00 | 72  0.03145 -1.68547e+00
 73  0.02960 -1.59134e+00 | 74  0.02705 -1.46778e+00 | 75  0.02380 -1.33644e+00
 76  0.01999 -1.21548e+00 | 77  0.01602 -1.10843e+00 | 78  0.01239 -1.00154e+00
 79  0.00955 -8.74277e-01 | 80  0.00761 -7.13958e-01 | 81  0.00637 -5.26196e-01
 82  0.00544 -3.31445e-01 | 83  0.00468 -1.53684e-01 | 84  0.00458 -4.48495e-03
 85  0.00522  1.27389e-01 | 86  0.00545  2.67868e-01 | 87  0.00713  4.44418e-01
 88  0.00970  6.69018e-01 | 89  0.01366  9.80502e-01 | 90  0.01376  1.43682e+00
 91  0.01250  2.13633e+00 | 92  0.01081  3.02703e+00 | 93  0.00275  3.71417e+00
 94  0.00360  4.40008e+00 | 95  0.02294  5.39853e+00 | 96  0.02140  5.12865e+00
 97 -0.00268  4.22564e+00 | 98  0.01577  5.86526e+00 | 99  0.08374  1.32237e+01
100  0.02820  1.09872e+01 |101 -0.01452  8.96645e+00 |102  0.00430  1.07170e+01
103  0.01938  1.33318e+01 |104  0.03866  2.28510e+01 |105  0.00285  2.53970e+01
106 -0.06248  1.65700e+01 |107 -0.07893  1.20347e+01 |108 -0.07730  9.65380e+00
109 -0.03457  8.12662e+00 |110  0.06971  9.47384e+00 |111  0.02361  4.44026e+00
112  0.01375  2.30483e+00 |113 -0.02797 -1.79096e+00 |114 -0.06716 -4.36075e+00
115 -0.00654 -1.04273e+01 |116  0.00456 -1.07366e+01 |117 -0.02731 -1.02050e+01
118  0.02817 -1.76581e+01 |119  0.07344 -2.54678e+01 |120  0.01038 -1.36428e+01
121  0.08254 -1.62577e+01 |122  0.00575 -5.43633e+00 |123  0.13287 -8.73138e+00
124 -0.00532 -1.86612e+00 |125 -0.04646 -8.05777e-01 |126 -0.05671 -7.18131e-02
127 -0.02192 -7.57625e-01 |128  0.09420 -5.29629e-01 |129  0.03190 -4.80183e-02
130  0.01685  1.11330e-01 |131 -0.02798 -6.21350e-02 |132 -0.01758 -4.29247e-05
133 -0.00588 -2.39868e-04 |134 -0.00040 -1.75993e-05 |135  0.27670 -1.33095e-04
136  0.18753  3.27385e-04 |

 - final statistics:
136 variables; iteration 17; function evaluation 24
Function value 6.8684e+03; maximum gradient component mag 8.6774e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42321  8.67744e+00 |  2 -0.10881  4.56098e-01 |  3 -0.00939 -6.12310e-02
  4 -0.00961 -6.41554e-02 |  5 -0.00982 -6.72518e-02 |  6 -0.01003 -7.05205e-02
