
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782814e+03; maximum gradient component mag -3.1050e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334  3.27873e+01 |  2 -0.09289 -3.10502e+02 |  3  0.00000  4.04267e+00
  4  0.00000  4.14458e+00 |  5  0.00000  4.24693e+00 |  6  0.00000  4.34942e+00
  7  0.00000  4.45192e+00 |  8  0.00000  4.55396e+00 |  9  0.00000  4.65511e+00
 10  0.00000  4.75498e+00 | 11  0.00000  4.85319e+00 | 12  0.00000  4.94934e+00
 13  0.00000  5.04303e+00 | 14  0.00000  5.13387e+00 | 15  0.00000  5.22139e+00
 16  0.00000  5.30505e+00 | 17  0.00000  5.38416e+00 | 18  0.00000  5.45796e+00
 19  0.00000  5.52576e+00 | 20  0.00000  5.58695e+00 | 21  0.00000  5.64118e+00
 22  0.00000  5.68791e+00 | 23  0.00000  5.72650e+00 | 24  0.00000  5.75616e+00
 25  0.00000  5.77585e+00 | 26  0.00000  5.78437e+00 | 27  0.00000  5.78036e+00
 28  0.00000  5.76262e+00 | 29  0.00000  5.72996e+00 | 30  0.00000  5.68067e+00
 31  0.00000  5.61535e+00 | 32  0.00000  5.53302e+00 | 33  0.00000  5.43319e+00
 34  0.00000  5.31570e+00 | 35  0.00000  5.18029e+00 | 36  0.00000  5.02694e+00
 37  0.00000  4.85596e+00 | 38  0.00000  4.66757e+00 | 39  0.00000  4.46219e+00
 40  0.00000  4.24027e+00 | 41  0.00000  4.00200e+00 | 42  0.00000  3.74689e+00
 43  0.00000  3.47369e+00 | 44  0.00000  3.17889e+00 | 45  0.00000  2.85640e+00
 46  0.00000  2.49860e+00 | 47  0.00000  2.09686e+00 | 48  0.00000  1.64155e+00
 49  0.00000  1.12311e+00 | 50  0.00000  5.31657e-01 | 51  0.00000 -1.42535e-01
 52  0.00000 -9.08930e-01 | 53  0.00000 -1.77577e+00 | 54  0.00000 -2.74992e+00
 55  0.00000 -3.83434e+00 | 56  0.00000 -5.03411e+00 | 57  0.00000 -6.34647e+00
 58  0.00000 -7.76405e+00 | 59  0.00000 -9.27673e+00 | 60  0.00000 -1.08667e+01
 61  0.00000 -1.25116e+01 | 62  0.00000 -1.41806e+01 | 63  0.00000 -1.58395e+01
 64  0.00000 -1.74505e+01 | 65  0.00000 -1.89725e+01 | 66  0.00000 -2.03645e+01
 67  0.00000 -2.15957e+01 | 68  0.00000 -2.26469e+01 | 69  0.00000 -2.35093e+01
 70  0.00000 -2.41879e+01 | 71  0.00000 -2.46829e+01 | 72  0.00000 -2.49858e+01
 73  0.00000 -2.50698e+01 | 74  0.00000 -2.48955e+01 | 75  0.00000 -2.44325e+01
 76  0.00000 -2.36841e+01 | 77  0.00000 -2.27161e+01 | 78  0.00000 -2.16478e+01
 79  0.00000 -2.06301e+01 | 80  0.00000 -1.97578e+01 | 81  0.00000 -1.90567e+01
 82  0.00000 -1.84821e+01 | 83  0.00000 -1.80452e+01 | 84  0.00000 -1.79033e+01
 85  0.00000 -1.81187e+01 | 86  0.00000 -1.84489e+01 | 87  0.00000 -1.93716e+01
 88  0.00000 -2.07760e+01 | 89  0.00000 -2.27627e+01 | 90  0.00000 -2.43337e+01
 91  0.00000 -2.59291e+01 | 92  0.00000 -2.77917e+01 | 93  0.00000 -2.88229e+01
 94  0.00000 -3.29092e+01 | 95  0.00000 -4.22085e+01 | 96  0.00000 -4.76895e+01
