
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3786824e+03; maximum gradient component mag -2.5954e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42334 -2.30521e+01 |  2 -0.09289 -2.59544e+02 |  3  0.00000  7.00310e+00
  4  0.00000  6.95870e+00 |  5  0.00000  6.89752e+00 |  6  0.00000  6.81951e+00
  7  0.00000  6.72460e+00 |  8  0.00000  6.61299e+00 |  9  0.00000  6.48524e+00
 10  0.00000  6.34182e+00 | 11  0.00000  6.18335e+00 | 12  0.00000  6.01031e+00
 13  0.00000  5.82267e+00 | 14  0.00000  5.61942e+00 | 15  0.00000  5.39874e+00
 16  0.00000  5.15684e+00 | 17  0.00000  4.88780e+00 | 18  0.00000  4.58444e+00
 19  0.00000  4.23855e+00 | 20  0.00000  3.84058e+00 | 21  0.00000  3.38098e+00
 22  0.00000  2.84962e+00 | 23  0.00000  2.23655e+00 | 24  0.00000  1.53163e+00
 25  0.00000  7.26041e-01 | 26  0.00000 -1.87629e-01 | 27  0.00000 -1.21431e+00
 28  0.00000 -2.35714e+00 | 29  0.00000 -3.61550e+00 | 30  0.00000 -4.98392e+00
 31  0.00000 -6.45287e+00 | 32  0.00000 -8.00621e+00 | 33  0.00000 -9.62227e+00
 34  0.00000 -1.12715e+01 | 35  0.00000 -1.29192e+01 | 36  0.00000 -1.45259e+01
 37  0.00000 -1.60492e+01 | 38  0.00000 -1.74474e+01 | 39  0.00000 -1.86883e+01
 40  0.00000 -1.97520e+01 | 41  0.00000 -2.06315e+01 | 42  0.00000 -2.13322e+01
 43  0.00000 -2.18578e+01 | 44  0.00000 -2.22020e+01 | 45  0.00000 -2.23407e+01
 46  0.00000 -2.22376e+01 | 47  0.00000 -2.18653e+01 | 48  0.00000 -2.12320e+01
 49  0.00000 -2.04073e+01 | 50  0.00000 -1.95140e+01 | 51  0.00000 -1.86978e+01
 52  0.00000 -1.80505e+01 | 53  0.00000 -1.75891e+01 | 54  0.00000 -1.72689e+01
 55  0.00000 -1.71027e+01 | 56  0.00000 -1.72479e+01 | 57  0.00000 -1.77681e+01
 58  0.00000 -1.84227e+01 | 59  0.00000 -1.96897e+01 | 60  0.00000 -2.14615e+01
 61  0.00000 -2.38470e+01 | 62  0.00000 -2.58340e+01 | 63  0.00000 -2.78846e+01
 64  0.00000 -3.02371e+01 | 65  0.00000 -3.17770e+01 | 66  0.00000 -3.63984e+01
 67  0.00000 -4.62433e+01 | 68  0.00000 -5.22398e+01 | 69  0.00000 -5.25353e+01
 70  0.00000 -6.53464e+01 | 71  0.00000 -8.21535e+01 | 72  0.00000 -6.52624e+01
 73  0.00000 -3.49156e+01 | 74  0.00000 -2.55007e+01 | 75  0.00000 -1.78680e+01
 76  0.00000 -3.29361e+00 | 77  0.00000  3.95391e+01 | 78  0.00000  1.11007e+02
 79  0.00000  1.43790e+02 | 80  0.00000  1.35552e+02 | 81  0.00000  7.30564e+01
 82  0.00000 -4.69764e+00 | 83  0.00000  5.17521e+00 | 84  0.00000  2.76087e+01
 85  0.00000  5.42497e+01 | 86  0.00000  7.40005e+01 | 87  0.00000  4.09526e+01
 88  0.00000  2.46889e+01 | 89  0.00000  1.94285e+01 | 90  0.00000 -1.90787e+01
 91  0.00000 -4.49497e+01 | 92  0.00000 -3.15843e+01 | 93  0.00000 -5.06297e+01
 94  0.00000 -2.06933e+01 | 95  0.00000 -9.03587e+01 | 96  0.00000  3.42319e+00
 97  0.00000  2.57154e+01 | 98  0.00000  2.82050e+01 | 99  0.00000  9.36104e+00
100  0.00000 -3.69515e+01 |101  0.00000 -1.38175e+01 |102  0.00000 -3.70956e+00
103  0.00000  1.08141e+01 |104  0.00000  5.18142e+00 |105  0.00000  1.49593e+00
106  0.00000  1.14593e-01 |107  0.27670 -3.68448e+01 |108  0.18753 -5.81993e+01

Intermediate statistics: 108 variables; iteration 20; function evaluation 29; phase 1
Function value 7.3370404e+03; maximum gradient component mag 3.8449e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42407 -2.03312e+01 |  2 -0.10550 -2.47625e+01 |  3 -0.01146  6.11939e-01
  4 -0.01122  5.75033e-01 |  5 -0.01094  5.34723e-01 |  6 -0.01063  4.91129e-01
  7 -0.01030  4.44442e-01 |  8 -0.00995  3.94984e-01 |  9 -0.00959  3.43230e-01
 10 -0.00921  2.89770e-01 | 11 -0.00884  2.35353e-01 | 12 -0.00847  1.80876e-01
 13 -0.00811  1.27384e-01 | 14 -0.00776  7.59984e-02 | 15 -0.00744  2.77793e-02
 16 -0.00712 -1.65776e-02 | 17 -0.00681 -5.69227e-02 | 18 -0.00648 -9.35814e-02
